	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
0	ARMADA Isolate_Homo sapiens_clinical	2	0	2	armada-isolate_homo-sapiens_clinical	Homosapiens
1	ATCC Isolate_NIST Mixed Microbial RM strain_clinical	1	0	1	atcc-isolate_nist-mixed-microbial-rm-strain_clinical	Homosapiens
2	Abcess_Ailuropoda melanoleuca_environmental/other	0	1	1	abcess_ailuropoda-melanoleuca_environmental/other	Environment
3	Abcess_Ara ararauna_environmental/other	0	1	1	abcess_ara-ararauna_environmental/other	Environment
4	Abdominal swab (Sus scrofa domesticus)_HMV_environmental/other	0	1	1	abdominal-swab-(sus-scrofa-domesticus)_hmv_environmental/other	Swine
5	Abdominal wound_Homo sapiens_clinical	1	0	1	abdominal-wound_homo-sapiens_clinical	Homosapiens
6	Abscess (Canine)_HMV_environmental/other	0	1	1	abscess-(canine)_hmv_environmental/other	Dog
7	Abscess (Canis lupus familiaris )_HMV_environmental/other	0	1	1	abscess-(canis-lupus-familiaris-)_hmv_environmental/other	Dog
8	Abscess (Canis lupus familiaris)_HMV_environmental/other	0	3	3	abscess-(canis-lupus-familiaris)_hmv_environmental/other	Dog
9	Abscess_Canis lupus familiaris_environmental/other	0	2	2	abscess_canis-lupus-familiaris_environmental/other	Dog
10	Abscess_Homo sapiens_clinical	1	0	1	abscess_homo-sapiens_clinical	Homosapiens
11	Airsac_Gallus gallus_environmental/other	0	1	1	airsac_gallus-gallus_environmental/other	Poultry
12	Alpaca; Cecum_HMV_environmental/other	0	1	1	alpaca;-cecum_hmv_environmental/other	Environment
13	Alpaca; Feces_HMV_environmental/other	0	2	2	alpaca;-feces_hmv_environmental/other	Environment
14	Amphibians & reptiles_HMV_environmental/other	0	2	2	amphibians-&-reptiles_hmv_environmental/other	Environment
15	Anal Gland (Canis lupus familiaris)_HMV_environmental/other	0	1	1	anal-gland-(canis-lupus-familiaris)_hmv_environmental/other	Dog
16	Anal Sac (Canis lupus familiaris)_HMV_environmental/other	0	1	1	anal-sac-(canis-lupus-familiaris)_hmv_environmental/other	Dog
17	Anal gland (Canis lupus familiaris)_HMV_environmental/other	0	2	2	anal-gland-(canis-lupus-familiaris)_hmv_environmental/other	Dog
18	Anal gland discharge swab (Canis lupus familiaris)_HMV_environmental/other	0	1	1	anal-gland-discharge-swab-(canis-lupus-familiaris)_hmv_environmental/other	Dog
19	Animal feed (hay)_HMV_environmental/other	0	3	3	animal-feed-(hay)_hmv_environmental/other	Environment
20	Animal feed_HMV_environmental/other	0	2	2	animal-feed_hmv_environmental/other	Environment
21	Animal sample: Sheep carcass swab_HMV_environmental/other	0	1	1	animal-sample:-sheep-carcass-swab_hmv_environmental/other	Meat/Meatproduct
22	Animal sample: cattle feces_HMV_environmental/other	0	3	3	animal-sample:-cattle-feces_hmv_environmental/other	Ruminant
23	Animal sample: resting area feces_HMV_environmental/other	0	3	3	animal-sample:-resting-area-feces_hmv_environmental/other	Environment
24	Animal sample: sheep carcass swab_HMV_environmental/other	0	9	9	animal-sample:-sheep-carcass-swab_hmv_environmental/other	Meat/Meatproduct
25	Animal sample: sheep cecal content_HMV_environmental/other	0	6	6	animal-sample:-sheep-cecal-content_hmv_environmental/other	Ruminant
26	Animal sample: sheep feces_HMV_environmental/other	0	9	9	animal-sample:-sheep-feces_hmv_environmental/other	Ruminant
27	Animal-Calf-Bob Veal (cecal)_HMV_environmental/other	0	42	42	animal-calf-bob-veal-(cecal)_hmv_environmental/other	Ruminant
28	Animal-Calf-Bob Veal_HMV_environmental/other	0	59	59	animal-calf-bob-veal_hmv_environmental/other	Ruminant
29	Animal-Calf-Formula-fed Veal (cecal)_HMV_environmental/other	0	23	23	animal-calf-formula-fed-veal-(cecal)_hmv_environmental/other	Ruminant
30	Animal-Calf-Formula-fed Veal_HMV_environmental/other	0	65	65	animal-calf-formula-fed-veal_hmv_environmental/other	Ruminant
31	Animal-Calf-Heavy Calf_HMV_environmental/other	0	1	1	animal-calf-heavy-calf_hmv_environmental/other	Ruminant
32	Animal-Calf-Non Formula-fed Veal (cecal)_HMV_environmental/other	0	12	12	animal-calf-non-formula-fed-veal-(cecal)_hmv_environmental/other	Ruminant
33	Animal-Calf-Non Formula-fed Veal_HMV_environmental/other	0	6	6	animal-calf-non-formula-fed-veal_hmv_environmental/other	Ruminant
34	Animal-Calf_HMV_environmental/other	0	4	4	animal-calf_hmv_environmental/other	Ruminant
35	Animal-Cattle-Beef Cow (cecal)_HMV_environmental/other	0	29	29	animal-cattle-beef-cow-(cecal)_hmv_environmental/other	Ruminant
36	Animal-Cattle-Bull_HMV_environmental/other	0	7	7	animal-cattle-bull_hmv_environmental/other	Ruminant
37	Animal-Cattle-Dairy Cow (cecal)_HMV_environmental/other	0	81	81	animal-cattle-dairy-cow-(cecal)_hmv_environmental/other	Ruminant
38	Animal-Cattle-Dairy Cow 1_HMV_environmental/other	0	3	3	animal-cattle-dairy-cow-1_hmv_environmental/other	Ruminant
39	Animal-Cattle-Dairy Cow 2_HMV_environmental/other	0	4	4	animal-cattle-dairy-cow-2_hmv_environmental/other	Ruminant
40	Animal-Cattle-Dairy Cow 3_HMV_environmental/other	0	1	1	animal-cattle-dairy-cow-3_hmv_environmental/other	Ruminant
41	Animal-Cattle-Dairy Cow 4_HMV_environmental/other	0	1	1	animal-cattle-dairy-cow-4_hmv_environmental/other	Ruminant
42	Animal-Cattle-Dairy Cow A_HMV_environmental/other	0	1	1	animal-cattle-dairy-cow-a_hmv_environmental/other	Ruminant
43	Animal-Cattle-Dairy Cow B_HMV_environmental/other	0	1	1	animal-cattle-dairy-cow-b_hmv_environmental/other	Ruminant
44	Animal-Cattle-Heifer (cecal)_HMV_environmental/other	0	45	45	animal-cattle-heifer-(cecal)_hmv_environmental/other	Ruminant
45	Animal-Cattle-Steer (cecal)_HMV_environmental/other	0	23	23	animal-cattle-steer-(cecal)_hmv_environmental/other	Ruminant
46	Animal-Cattle-Steer/Heifer Carcass Sponge_HMV_environmental/other	0	1	1	animal-cattle-steer/heifer-carcass-sponge_hmv_environmental/other	Meat/Meatproduct
47	Animal-Chicken-Young Chicken (cecal)_HMV_environmental/other	0	96	96	animal-chicken-young-chicken-(cecal)_hmv_environmental/other	Poultry
48	Animal-Goat (cecal)_HMV_environmental/other	0	9	9	animal-goat-(cecal)_hmv_environmental/other	Ruminant
49	Animal-Goat_HMV_environmental/other	0	9	9	animal-goat_hmv_environmental/other	Ruminant
50	Animal-Sheep-Lamb (cecal)_HMV_environmental/other	0	12	12	animal-sheep-lamb-(cecal)_hmv_environmental/other	Ruminant
51	Animal-Sheep-Lamb_HMV_environmental/other	0	8	8	animal-sheep-lamb_hmv_environmental/other	Ruminant
52	Animal-Sheep-Mature Sheep (cecal)_HMV_environmental/other	0	7	7	animal-sheep-mature-sheep-(cecal)_hmv_environmental/other	Ruminant
53	Animal-Sheep-Mature Sheep_HMV_environmental/other	0	9	9	animal-sheep-mature-sheep_hmv_environmental/other	Ruminant
54	Animal-Swine-Market Swine (cecal)_HMV_environmental/other	0	111	111	animal-swine-market-swine-(cecal)_hmv_environmental/other	Swine
